id_sv,id_nv,tt_nv,ma_truong,ten_truong,ma_nganh,ten_nganh,phuong_thuc_1,phuong_thuc_2,phuong_thuc_3,phuong_thuc_4
16123047924,NV75,4,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,QHT94,Kỹ thuật Hóa học,1,1,1,0
60281772236,NV76,1,DCN,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,BF2,Kỹ thuật Hóa học,0,0,1,0
50720614725,NV77,3,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,BF-E12,Kỹ thuật Sinh học,1,1,0,0
60797178778,NV78,4,BVH,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM4,Công nghệ Thông tin,1,1,0,1
95207281077,NV79,3,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM4,Kỹ thuật Hóa học,1,1,1,1
24163844192,NV80,1,DCN,TRƯỜNG ĐẠI HỌC CMC,ET2,Kỹ thuật Điện,1,1,1,1
82676367558,NV81,2,QHI,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,IT-E7,Công nghệ Thông tin,0,1,0,1
36397435891,NV82,3,DKK,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM-E14,Kỹ thuật Điện,0,0,0,0
80504872270,NV83,2,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE2,Kỹ thuật Hóa học,1,1,0,0
55577803376,NV84,2,BKA,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,CH2,Công nghệ Thông tin,1,1,1,0
64738113619,NV85,4,BKA,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EE-E18,Kỹ thuật Sinh học,1,1,1,0
25082207717,NV86,4,BKA,TRƯỜNG ĐẠI HỌC CMC,EM3,Kỹ thuật Sinh học,1,0,1,1
36800828708,NV87,3,QHI,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,CH2,Công nghệ Thông tin,1,0,1,1
62453213953,NV88,1,QHI,TRƯỜNG ĐẠI HỌC CMC,EM4,Công nghệ Thông tin,0,1,1,1
85246224863,NV89,3,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM1,Kỹ thuật Hóa học,1,1,0,0
44044911555,NV90,2,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,BF-E12,Kỹ thuật Hóa học,1,1,0,0
84656068562,NV91,2,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,TROY-IT,Kỹ thuật Hóa học,0,0,0,1
89353752741,NV92,4,QHI,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,CH3,Kỹ thuật Điện,1,0,1,0
85648499130,NV93,1,DKK,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,EE-EP,Kỹ thuật Hóa học,1,0,1,1
97888208826,NV94,2,DKK,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EE1,Công nghệ Thông tin,0,0,0,1
16489050892,NV95,1,DCN,TRƯỜNG ĐẠI HỌC CMC,CH2,Công nghệ Thông tin,0,1,0,1
69908113982,NV96,2,DCN,TRƯỜNG ĐẠI HỌC CMC,EM-E13,Kỹ thuật Sinh học,0,0,0,0
53128280158,NV97,3,DKK,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,EE1,Kỹ thuật Điện,1,0,1,1
73234919195,NV98,4,DKK,TRƯỜNG ĐẠI HỌC CMC,CH2,Công nghệ Thông tin,1,1,0,1
57281285531,NV99,3,DCN,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,CH2,Kỹ thuật Sinh học,0,1,0,0
33941192878,NV100,2,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,BF1,Kỹ thuật Điện,1,0,1,0
58872636928,NV101,3,CMC,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM-E13,Kỹ thuật Sinh học,0,1,0,1
12828941843,NV102,3,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,CH2,Kỹ thuật Điện,0,1,1,0
61290239448,NV103,1,QHI,TRƯỜNG ĐẠI HỌC CMC,BF1,Kỹ thuật Sinh học,0,0,0,1
47935386586,NV104,4,QHI,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,EE-E8,Kỹ thuật Điện,1,0,0,0
80426617721,NV105,2,DCN,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EM3,Kỹ thuật Hóa học,0,1,1,1
28562188851,NV106,4,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE2,Kỹ thuật Hóa học,1,1,1,0
33767791348,NV107,3,QHI,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,CH-E11,Kỹ thuật Sinh học,1,1,1,1
27296780558,NV108,4,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,BF2,Kỹ thuật Sinh học,0,1,0,0
22887171580,NV109,4,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,IT-E7,Kỹ thuật Điện,1,1,0,1
71443304116,NV110,3,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM-VUW,Công nghệ Thông tin,1,0,0,0
95426827185,NV111,4,DCN,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EE-E18,Kỹ thuật Sinh học,1,1,1,1
72758279952,NV112,1,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,ET1,Công nghệ Thông tin,0,1,1,0
74522614406,NV113,1,DCN,ĐẠI HỌC BÁCH KHOA HÀ NỘI,ET1,Kỹ thuật Điện,1,1,0,1
10810601966,NV114,4,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,BF1,Kỹ thuật Điện,0,0,1,0
58244977743,NV115,3,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,CH1,Kỹ thuật Điện,0,0,0,0
69886761863,NV116,2,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM5,Kỹ thuật Sinh học,1,1,1,0
32085228286,NV117,1,BVH,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,BF2,Kỹ thuật Sinh học,0,0,0,1
80656500308,NV118,4,QHI,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EM3,Kỹ thuật Sinh học,0,0,0,1
71164951804,NV119,4,DKK,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,CH1,Kỹ thuật Hóa học,1,1,0,0
10324249756,NV120,3,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,BF2,Kỹ thuật Sinh học,1,0,1,1
49972029781,NV121,2,DKK,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,BF2,Kỹ thuật Sinh học,0,1,1,0
61942931935,NV122,2,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE-EP,Công nghệ Thông tin,0,0,1,0
97427209996,NV123,3,DCN,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,BF1,Công nghệ Thông tin,0,1,1,0
85189267066,NV124,1,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM3,Kỹ thuật Điện,1,0,1,0
62685587300,NV125,4,BKA,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM1,Kỹ thuật Điện,0,0,0,0
35226710927,NV126,1,DCN,TRƯỜNG ĐẠI HỌC CMC,CH2,Công nghệ Thông tin,0,0,1,0
82485340485,NV127,4,BVH,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,ET2,Kỹ thuật Sinh học,1,1,0,1
65842264808,NV128,3,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM3,Kỹ thuật Điện,0,1,0,0
79938176520,NV129,4,BKA,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EM-VUW,Kỹ thuật Hóa học,0,1,0,1
41785521625,NV130,2,CMC,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,BF-E12,Kỹ thuật Sinh học,0,1,0,1
19115241387,NV131,1,QHT,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EM3,Kỹ thuật Điện,1,0,1,1
75790701257,NV132,3,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,ET2,Kỹ thuật Sinh học,1,1,0,1
82318706586,NV133,2,BVH,ĐẠI HỌC BÁCH KHOA HÀ NỘI,CH1,Kỹ thuật Điện,1,0,1,1
29835379242,NV134,2,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM-E13,Kỹ thuật Hóa học,1,0,1,0
45857486873,NV135,3,DKK,TRƯỜNG ĐẠI HỌC CMC,CH3,Công nghệ Thông tin,1,0,1,0
44433333119,NV136,1,CMC,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EE-E8,Kỹ thuật Sinh học,0,0,0,1
56821003283,NV137,1,DKK,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,CH-E11,Kỹ thuật Điện,1,1,0,1
14814858317,NV138,2,DKK,TRƯỜNG ĐẠI HỌC CMC,EM1,Kỹ thuật Hóa học,0,1,0,0
13993614298,NV139,4,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM4,Công nghệ Thông tin,1,0,0,0
85143801511,NV140,1,CMC,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,QHT94,Kỹ thuật Điện,1,1,0,1
28950116085,NV141,4,DCN,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EE2,Kỹ thuật Hóa học,1,0,1,1
88620641353,NV142,2,BVH,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,TX1,Công nghệ Thông tin,1,1,1,0
99452215140,NV143,4,BVH,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM3,Kỹ thuật Sinh học,1,1,0,0
70805549968,NV144,1,QHI,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EM1,Công nghệ Thông tin,1,0,0,0
33162968001,NV145,2,DKK,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EM3,Công nghệ Thông tin,1,1,1,1
83739809504,NV146,2,CMC,ĐẠI HỌC BÁCH KHOA HÀ NỘI,BF2,Kỹ thuật Sinh học,0,1,1,0
99426037715,NV147,3,QHI,TRƯỜNG ĐẠI HỌC CMC,EE-EP,Kỹ thuật Điện,1,1,1,0
62735384642,NV148,1,CMC,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE1,Kỹ thuật Điện,1,0,0,1
27812204132,NV149,3,BVH,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,CH3,Kỹ thuật Hóa học,0,0,1,0
46285725193,NV150,2,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,QHT94,Kỹ thuật Sinh học,1,0,1,0
26938115158,NV151,4,CMC,ĐẠI HỌC BÁCH KHOA HÀ NỘI,TROY-BA,Kỹ thuật Sinh học,0,0,0,1
77794258567,NV152,3,CMC,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM4,Kỹ thuật Sinh học,0,0,1,1
46589158599,NV153,3,DKK,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,BF-E12,Công nghệ Thông tin,1,1,0,1
64308300352,NV154,3,BKA,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,TROY-IT,Công nghệ Thông tin,1,1,0,1
85432088495,NV155,4,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM5,Kỹ thuật Điện,1,0,1,1
88301483831,NV156,3,DCN,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,TX1,Công nghệ Thông tin,0,0,1,0
23740265720,NV157,2,QHT,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,TROY-BA,Kỹ thuật Hóa học,0,1,0,0
19843686339,NV158,4,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,CH2,Công nghệ Thông tin,1,1,0,1
58945466920,NV159,1,CMC,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,TX1,Kỹ thuật Hóa học,1,1,1,1
65747663455,NV160,2,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EE-E18,Kỹ thuật Điện,0,1,0,0
19560511330,NV161,2,DCN,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,EE-EP,Kỹ thuật Hóa học,0,1,0,1
35739154755,NV162,2,DCN,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,QHT94,Kỹ thuật Hóa học,0,1,1,1
17735375563,NV163,2,QHI,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,EM5,Kỹ thuật Hóa học,0,1,1,1
65347988988,NV164,2,QHI,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM4,Kỹ thuật Điện,1,1,1,1
23900515372,NV165,2,DKK,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,BF2,Kỹ thuật Hóa học,1,0,1,1
90590328870,NV166,3,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE2,Kỹ thuật Sinh học,1,0,1,0
93382305481,NV167,2,BKA,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,CH1,Công nghệ Thông tin,0,0,0,1
83703022175,NV168,4,BKA,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,BF2,Kỹ thuật Sinh học,1,0,0,0
79424191152,NV169,1,QHT,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,CH2,Kỹ thuật Điện,1,0,0,1
60596097072,NV170,3,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM3,Công nghệ Thông tin,1,1,1,1
75425748214,NV171,3,CMC,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EE-E18,Kỹ thuật Điện,0,0,0,1
86716305538,NV172,2,DCN,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EE-E18,Kỹ thuật Điện,0,0,0,1
